order_id,order_number,shop_id,createdAt,currency,order_total_price,order_total_discounts,cost_total,revenue_with_cost,shipping_original_price,shipping_price_charged,shipping_discount_amount,is_free_shipping,product_id,variant_id,title,price,quantity,total_discount,compare_at_price,active_campaign_id,active_campaign_ids,campaign_discounts
1001,1001,sd-shop-0001,2025-05-10 07:40:00+00:00,USD,247.67,62.32,126.93,247.67,4.99,0.0,4.99,False,7000828197913,41002132600026,Reed Diffuser Luxury Set,136.33,2,32.34,152.5,sc5,"[""sc5"", ""sc7""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 32.34}, {""campaignId"": ""sc7"", ""campaignName"": ""Free Gift with $75 Purchase"", ""campaignType"": ""buy_one_get_one"", ""discountAmount"": 0.0}]"
1001,1001,sd-shop-0001,2025-05-10 07:40:00+00:00,USD,247.67,62.32,126.93,247.67,4.99,0.0,4.99,False,7000019539811,41000518186168,Travel Candle Tin (free gift),24.99,1,24.99,24.99,sc7,"[""sc7""]","[{""campaignId"": ""sc7"", ""campaignName"": ""Free Gift with $75 Purchase"", ""campaignType"": ""buy_one_get_one"", ""discountAmount"": 24.99}]"
1002,1002,sd-shop-0001,2025-05-10 11:50:00+00:00,USD,100.33,34.91,53.97,100.33,4.99,0.0,4.99,False,7000828197913,41002132600026,Reed Diffuser Luxury Set,27.59,3,14.92,32.56,sc5,"[""sc5""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 14.92}]"
1002,1002,sd-shop-0001,2025-05-10 11:50:00+00:00,USD,100.33,34.91,53.97,100.33,4.99,0.0,4.99,False,7000103320804,41000085793481,Decorative Throw Pillow Cover,32.56,1,0.0,32.56,,[],[]
1003,1003,sd-shop-0001,2025-05-10 15:02:00+00:00,USD,132.98,22.19,56.29,132.98,0.0,0.0,0.0,False,7000090128723,41001103316264,Ceramic Vase & Bowl Set,55.39,1,22.19,77.58,sc5,"[""sc5""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 22.19}]"
1003,1003,sd-shop-0001,2025-05-10 15:02:00+00:00,USD,132.98,22.19,56.29,132.98,0.0,0.0,0.0,False,7000357423367,41000948010126,Linen Throw Blanket,77.59,1,0.0,77.59,,[],[]
1004,1004,sd-shop-0001,2025-05-10 19:13:00+00:00,USD,165.63,30.64,74.31,165.63,0.0,0.0,0.0,False,7000090128723,41001103316264,Ceramic Vase & Bowl Set,50.11,2,30.64,65.43,sc5,"[""sc5""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 30.64}]"
1004,1004,sd-shop-0001,2025-05-10 19:13:00+00:00,USD,165.63,30.64,74.31,165.63,0.0,0.0,0.0,False,7000357423367,41000948010126,Linen Throw Blanket,65.42,1,0.0,65.42,,[],[]
1005,1005,sd-shop-0001,2025-05-10 00:23:00+00:00,USD,198.29,20.45,94.0,198.29,0.0,0.0,0.0,False,7000752187875,41000193868608,Home Fragrance Gift Box,99.15,2,20.45,109.37,sc5,"[""sc5""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 20.45}]"
1006,1006,sd-shop-0001,2025-05-10 04:34:00+00:00,USD,230.94,62.99,115.35,230.94,9.99,0.0,9.99,True,7000828197913,41002132600026,Reed Diffuser Luxury Set,127.97,2,28.01,141.97,sc5,"[""sc5"", ""sc7""]","[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 28.01}, {""campaignId"": ""sc7"", ""campaignName"": ""Free Gift with $75 Purchase"", ""campaignType"": ""buy_one_get_one"", ""discountAmount"": 0.0}]"
