order_id,shop_id,order_number,currency,subtotal_price,total_discounts,total_price,has_active_campaign,is_free_shipping,shipping_original_price,shipping_price_charged,shipping_discount_amount,applied_campaigns,order_campaigns,cost_total,revenue_with_cost,has_partial_cost,createdAt
1001,sd-shop-0001,1001,USD,247.67,62.32,247.67,True,False,4.99,0.0,4.99,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 32.34}, {""campaignId"": ""sc7"", ""campaignName"": ""Free Gift with $75 Purchase"", ""campaignType"": ""buy_one_get_one"", ""discountAmount"": 24.99}]","[{""campaignId"": ""sc2"", ""campaignName"": ""Free Shipping over $50"", ""campaignType"": ""shipping"", ""discountAmount"": 4.99, ""shippingDiscountType"": 3, ""shippingDiscountValue"": 4.99}]",126.93,247.67,False,2025-05-10 07:40:00+00:00
1002,sd-shop-0001,1002,USD,100.33,34.91,100.33,True,False,4.99,0.0,4.99,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 14.92}]","[{""campaignId"": ""sc2"", ""campaignName"": ""Free Shipping over $50"", ""campaignType"": ""shipping"", ""discountAmount"": 4.99, ""shippingDiscountType"": 3, ""shippingDiscountValue"": 4.99}, {""campaignId"": ""sc6"", ""campaignName"": ""Spend $100, Save $15"", ""campaignType"": ""order"", ""discountAmount"": 15.0, ""shippingDiscountType"": null, ""shippingDiscountValue"": null}]",53.97,100.33,False,2025-05-10 11:50:00+00:00
1003,sd-shop-0001,1003,USD,132.98,22.19,132.98,True,False,0.0,0.0,0.0,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 22.19}]",[],56.29,132.98,False,2025-05-10 15:02:00+00:00
1004,sd-shop-0001,1004,USD,165.63,30.64,165.63,True,False,0.0,0.0,0.0,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 30.64}]",[],74.31,165.63,False,2025-05-10 19:13:00+00:00
1005,sd-shop-0001,1005,USD,198.29,20.45,198.29,True,False,0.0,0.0,0.0,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 20.45}]",[],94.0,198.29,False,2025-05-10 00:23:00+00:00
1006,sd-shop-0001,1006,USD,230.94,62.99,230.94,True,True,9.99,0.0,9.99,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 28.01}, {""campaignId"": ""sc7"", ""campaignName"": ""Free Gift with $75 Purchase"", ""campaignType"": ""buy_one_get_one"", ""discountAmount"": 24.99}]","[{""campaignId"": ""sc2"", ""campaignName"": ""Free Shipping over $50"", ""campaignType"": ""shipping"", ""discountAmount"": 9.99, ""shippingDiscountType"": 3, ""shippingDiscountValue"": 9.99}]",115.35,230.94,False,2025-05-10 04:34:00+00:00
1007,sd-shop-0001,1007,USD,83.59,16.65,83.59,True,False,4.99,0.0,4.99,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 11.66}]","[{""campaignId"": ""sc2"", ""campaignName"": ""Free Shipping over $50"", ""campaignType"": ""shipping"", ""discountAmount"": 4.99, ""shippingDiscountType"": 3, ""shippingDiscountValue"": 4.99}]",43.87,83.59,False,2025-05-11 09:45:00+00:00
1008,sd-shop-0001,1008,USD,116.25,23.31,116.25,True,False,4.99,0.0,4.99,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 18.32}]","[{""campaignId"": ""sc2"", ""campaignName"": ""Free Shipping over $50"", ""campaignType"": ""shipping"", ""discountAmount"": 4.99, ""shippingDiscountType"": 3, ""shippingDiscountValue"": 4.99}]",47.69,116.25,False,2025-05-11 13:56:00+00:00
1009,sd-shop-0001,1009,USD,148.9,26.16,148.9,True,False,0.0,0.0,0.0,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 26.16}]",[],64.87,148.9,False,2025-05-11 17:07:00+00:00
1010,sd-shop-0001,1010,USD,181.55,35.2,181.55,True,False,0.0,0.0,0.0,"[{""campaignId"": ""sc5"", ""campaignName"": ""Spring Decor: Buy 3+, Save 12%"", ""campaignType"": ""volume"", ""discountAmount"": 35.2}]",[],211.58,181.55,False,2025-05-11 21:18:00+00:00
